research_field,response
Vision Science,"[
{
""topic_words"": [""retina"", ""photoreceptor"", ""ganglion"", ""layer"", ""synaptic""],
""topic_label"": ""Retinal Neurobiology""
},
{
""topic_words"": [""myopia"", ""refractive"", ""error"", ""accommodation"", ""defocus""],
""topic_label"": ""Refractive Error and Myopia""
},
{
""topic_words"": [""cortex"", ""visual"", ""neuroscience"", ""perception"", ""processing""],
""topic_label"": ""Cortical Visual Processing""
},
{
""topic_words"": [""glaucoma"", ""optic"", ""degeneration"", ""perfusion"", ""injury""],
""topic_label"": ""Optic Nerve Pathology""
},
{
""topic_words"": [""color"", ""constancy"", ""adaptation"", ""trichromacy"", ""opponent""],
""topic_label"": ""Color Vision Mechanisms""
},
{
""topic_words"": [""corneal"", ""surface"", ""keratitis"", ""epithelium"", ""inflammation""],
""topic_label"": ""Corneal Biology and Disease""
},
{
""topic_words"": [""movement"", ""oculomotor"", ""saccades"", ""pursuit"", ""control""],
""topic_label"": ""Eye Movement Control""
}
]"
Orthodontics and Orthodontology,"[
{
""topic_words"": [""malocclusion"", ""diagnosis"", ""treatment"", ""outcomes"", ""efficacy""],
""topic_label"": ""Malocclusion Diagnosis and Treatment""
},
{
""topic_words"": [""biomechanics"", ""force"", ""movement"", ""appliance"", ""anchorage""],
""topic_label"": ""Orthodontic Biomechanics and Force""
},
{
""topic_words"": [""aligners"", ""clear"", ""removable"", ""invisible"", ""compliance""],
""topic_label"": ""Clear Aligner Therapy""
},
{
""topic_words"": [""growth"", ""development"", ""craniofacial"", ""skeletal"", ""functional""],
""topic_label"": ""Craniofacial Growth and Development""
},
{
""topic_words"": [""imaging"", ""3d"", ""cbct"", ""digital"", ""planning""],
""topic_label"": ""Digital Imaging and Treatment Planning""
},
{
""topic_words"": [""tmd"", ""apnea"", ""sleep"", ""syndrome"", ""disorders""],
""topic_label"": ""Temporomandibular and Sleep Disorders""
},
{
""topic_words"": [""relapse"", ""retention"", ""retainer"", ""stability"", ""periodontal""],
""topic_label"": ""Retention and Relapse Prevention""
}
]"
Gastroenterology,"[
{
""topic_words"": [""inflammatory"", ""bowel"", ""crohn's"", ""colitis"", ""biologics""],
""topic_label"": ""Inflammatory Bowel Disease (IBD)""
},
{
""topic_words"": [""gut"", ""microbiome"", ""dysbiosis"", ""probiotics"", ""fecal""],
""topic_label"": ""Gut Microbiome and Dysbiosis""
},
{
""topic_words"": [""hepatitis"", ""cirrhosis"", ""fibrosis"", ""liver"", ""nonalcoholic""],
""topic_label"": ""Liver Disease and Fibrosis""
},
{
""topic_words"": [""screening"", ""colonoscopy"", ""adenoma"", ""polyp"", ""colorectal""],
""topic_label"": ""Colorectal Cancer Screening""
},
{
""topic_words"": [""reflux"", ""esophagus"", ""barrett's"", ""acid"", ""achalasia""],
""topic_label"": ""Esophageal and Reflux Disorders""
},
{
""topic_words"": [""pancreatitis"", ""biliary"", ""gallstones"", ""endoscopic"", ""ercp""],
""topic_label"": ""Pancreatic and Biliary Disease""
},
{
""topic_words"": [""celiac"", ""gluten"", ""malabsorption"", ""intolerance"", ""villous""],
""topic_label"": ""Celiac Disease and Malabsorption""
}
]"
Neurosurgery,"[
{
""topic_words"": [""glioma"", ""meningioma"", ""biopsy"", ""resection"", ""imaging""],
""topic_label"": ""Neuro-Oncology and Tumor Surgery""
},
{
""topic_words"": [""aneurysm"", ""avm"", ""hemorrhage"", ""endovascular"", ""clipping""],
""topic_label"": ""Vascular Neurosurgery Techniques""
},
{
""topic_words"": [""spine"", ""fusion"", ""decompression"", ""discectomy"", ""instrumentation""],
""topic_label"": ""Spinal Surgery Procedures""
},
{
""topic_words"": [""dbs"", ""parkinson’s"", ""epilepsy"", ""stimulation"", ""movement""],
""topic_label"": ""Functional Neurosurgery and Neuromodulation""
},
{
""topic_words"": [""catheter"", ""shunt"", ""hydrocephalus"", ""pressure"", ""ventricular""],
""topic_label"": ""Cerebrospinal Fluid Dynamics""
},
{
""topic_words"": [""robotics"", ""navigation"", ""microscope"", ""stereotactic"", ""minimally""],
""topic_label"": ""Minimally Invasive Techniques""
},
{
""topic_words"": [""traumatic"", ""tbi"", ""intracranial"", ""monitoring"", ""craniectomy""],
""topic_label"": ""Neurotrauma and Critical Care""
}
]"
Mass Communication,"[
{
""topic_words"": [""social"", ""media"", ""platform"", ""network"", ""influence""],
""topic_label"": ""Social Media and Influence""
},
{
""topic_words"": [""audience"", ""reception"", ""theory"", ""effects"", ""consumption""],
""topic_label"": ""Media Audience and Effects""
},
{
""topic_words"": [""news"", ""journalism"", ""ethics"", ""reporting"", ""digital""],
""topic_label"": ""Digital Journalism and Ethics""
},
{
""topic_words"": [""propaganda"", ""disinformation"", ""misinformation"", ""trust"", ""filter""],
""topic_label"": ""Information Disorder""
},
{
""topic_words"": [""advertising"", ""persuasion"", ""campaign"", ""marketing"", ""consumer""],
""topic_label"": ""Advertising and Persuasion""
},
{
""topic_words"": [""policy"", ""regulation"", ""freedom"", ""speech"", ""governance""],
""topic_label"": ""Media Law and Policy""
},
{
""topic_words"": [""representation"", ""identity"", ""stereotypes"", ""culture"", ""diversity""],
""topic_label"": ""Media Representation and Culture""
}
]"
Caribbean Languages and Societies,"[
{
""topic_words"": [""creole"", ""patois"", ""haitian"", ""linguistics"", ""language""],
""topic_label"": ""Creole Language Development""
},
{
""topic_words"": [""diaspora"", ""migration"", ""identity"", ""culture"", ""transnational""],
""topic_label"": ""Caribbean Diaspora and Identity""
},
{
""topic_words"": [""papiamento"", ""aruba"", ""bonaire"", ""curacao"", ""dutch""],
""topic_label"": ""Papiamento and Dutch Caribbean""
},
{
""topic_words"": [""slavery"", ""colonialism"", ""postcolonial"", ""history"", ""social""],
""topic_label"": ""Colonialism and Social Structures""
},
{
""topic_words"": [""music"", ""carnival"", ""folklore"", ""literature"", ""performance""],
""topic_label"": ""Caribbean Cultural Expressions""
},
{
""topic_words"": [""english"", ""spanish"", ""french"", ""dutch"", ""official""],
""topic_label"": ""Official Languages and Policy""
},
{
""topic_words"": [""gender"", ""race"", ""class"", ""sexuality"", ""inequality""],
""topic_label"": ""Social Stratification and Difference""
}
]"
Music Pedagogy,"[
{
""topic_words"": [""instrumental"", ""vocal"", ""ensemble"", ""practice"", ""performance""],
""topic_label"": ""Music Instruction and Performance""
},
{
""topic_words"": [""creativity"", ""improvisation"", ""composition"", ""arranging"", ""expression""],
""topic_label"": ""Creative Music Education""
},
{
""topic_words"": [""assessment"", ""evaluation"", ""rubrics"", ""feedback"", ""measurement""],
""topic_label"": ""Music Student Assessment""
},
{
""topic_words"": [""curriculum"", ""standards"", ""design"", ""goals"", ""framework""],
""topic_label"": ""Curriculum Development in Music""
},
{
""topic_words"": [""technology"", ""software"", ""digital"", ""learning"", ""tools""],
""topic_label"": ""Digital Music Education Tools""
},
{
""topic_words"": [""diversity"", ""equity"", ""inclusion"", ""culture"", ""sociology""],
""topic_label"": ""Music Education Equity""
},
{
""topic_words"": [""aural"", ""sight-reading"", ""theory"", ""musicianship"", ""skills""],
""topic_label"": ""Developing Core Musicianship Skills""
}
]"
Latina/o Studies,"[
{
""topic_words"": [""immigration"", ""border"", ""migration"", ""policies"", ""citizenship""],
""topic_label"": ""Latina/o Immigration and Policy""
},
{
""topic_words"": [""identity"", ""race"", ""ethnicity"", ""gender"", ""intersectionality""],
""topic_label"": ""Identity, Race, and Intersectionality""
},
{
""topic_words"": [""literature"", ""film"", ""art"", ""music"", ""cultural""],
""topic_label"": ""Cultural and Artistic Expressions""
},
{
""topic_words"": [""education"", ""achievement"", ""access"", ""schools"", ""equity""],
""topic_label"": ""Latina/o Educational Equity""
},
{
""topic_words"": [""politics"", ""activism"", ""voting"", ""representation"", ""movements""],
""topic_label"": ""Political Activism and Representation""
},
{
""topic_words"": [""community"", ""barrio"", ""family"", ""social"", ""organization""],
""topic_label"": ""Community and Social Life""
},
{
""topic_words"": [""labor"", ""work"", ""economy"", ""capitalism"", ""exploitation""],
""topic_label"": ""Labor and Economic Issues""
}
]"
Metallurgy,"[
{
""topic_words"": [""casting"", ""solidification"", ""alloys"", ""process"", ""foundry""],
""topic_label"": ""Casting and Solidification Processes""
},
{
""topic_words"": [""microstructure"", ""grain"", ""phase"", ""characterization"", ""evolution""],
""topic_label"": ""Microstructure Analysis and Evolution""
},
{
""topic_words"": [""corrosion"", ""oxidation"", ""degradation"", ""protection"", ""electrochemistry""],
""topic_label"": ""Metal Corrosion and Protection""
},
{
""topic_words"": [""mechanical"", ""strength"", ""testing"", ""properties"", ""deformation""],
""topic_label"": ""Metal Mechanical Properties""
},
{
""topic_words"": [""welding"", ""joining"", ""friction"", ""depositions"", ""processing""],
""topic_label"": ""Welding and Joining Processes""
},
{
""topic_words"": [""heat"", ""treatment"", ""tempering"", ""annealing"", ""quench""],
""topic_label"": ""Metal Thermal Processing""
},
{
""topic_words"": [""additive"", ""manufacturing"", ""modeling"", ""powder"", ""printing""],
""topic_label"": ""Additive Manufacturing Metallurgy""
}
]"
Other Astrophysics and Astronomy,"[
{
""topic_words"": [""black"", ""hole"", ""accretion"", ""disk"", ""event""],
""topic_label"": ""Black Hole Accretion""
},
{
""topic_words"": [""dark"", ""matter"", ""halo"", ""wimp"", ""detection""],
""topic_label"": ""Dark Matter Particle Detection""
},
{
""topic_words"": [""cosmic"", ""microwave"", ""background"", ""anisotropy"", ""recombination""],
""topic_label"": ""Cosmic Microwave Background""
},
{
""topic_words"": [""galaxy"", ""formation"", ""evolution"", ""merger"", ""redshift""],
""topic_label"": ""Galaxy Formation and Evolution""
},
{
""topic_words"": [""neutron"", ""star"", ""pulsar"", ""magnetar"", ""supernova""],
""topic_label"": ""Neutron Stars and Pulsars""
},
{
""topic_words"": [""gravitational"", ""wave"", ""lensing"", ""interferometer"", ""ligo""],
""topic_label"": ""Gravitational Wave Astronomy""
},
{
""topic_words"": [""interstellar"", ""medium"", ""dust"", ""gas"", ""molecular""],
""topic_label"": ""Interstellar Medium Dynamics""
}
]"
Computational Chemistry,"[
{
""topic_words"": [""density"", ""functional"", ""theory"", ""dft"", ""basis""],
""topic_label"": ""Density Functional Theory Calculations""
},
{
""topic_words"": [""molecular"", ""dynamics"", ""simulation"", ""trajectory"", ""forcefields""],
""topic_label"": ""Molecular Dynamics Simulation""
},
{
""topic_words"": [""quantum"", ""monte"", ""carlo"", ""wavefunction"", ""correlation""],
""topic_label"": ""Quantum Monte Carlo Methods""
},
{
""topic_words"": [""drug"", ""design"", ""screening"", ""binding"", ""ligand""],
""topic_label"": ""Computational Drug Design""
},
{
""topic_words"": [""potential"", ""energy"", ""surface"", ""reaction"", ""transition""],
""topic_label"": ""Reaction Mechanism Analysis""
},
{
""topic_words"": [""ab"", ""initio"", ""hartree"", ""fock"", ""coupled""],
""topic_label"": ""Ab Initio Electronic Structure""
},
{
""topic_words"": [""machine"", ""learning"", ""data"", ""prediction"", ""materials""],
""topic_label"": ""Machine Learning in Chemistry""
}
]"
Critical and Cultural Studies,"[ { ""topic_words"": [""power"", ""discourse"", ""hegemony"", ""ideology"", ""resist""], ""topic_label"": ""Power and Discourse Analysis"" }, { ""topic_words"": [""identity"", ""representation"", ""subjectivity"", ""difference"", ""performativity""], ""topic_label"": ""Identity and Representation"" }, { ""topic_words"": [""media"", ""digital"", ""consumption"", ""platform"", ""surveillance""], ""topic_label"": ""Digital Media and Surveillance"" }, { ""topic_words"": [""colonization"", ""postcolonial"", ""decolonial"", ""empire"", ""subaltern""], ""topic_label"": ""Postcolonial and Decolonial Theory"" }, { ""topic_words"": [""affect"", ""emotion"", ""feeling"", ""body"", ""materiality""], ""topic_label"": ""Affect Theory and Materiality"" }, { ""topic_words"": [""capitalism"", ""commodity"", ""market"", ""neoliberalism"", ""production""], ""topic_label"": ""Critique of Neoliberal Capitalism"" }, { ""topic_words"": [""space"", ""place"", ""urban"", ""geography"", ""environment""], ""topic_label"": ""Critical Spatial Studies"" } ]"
Other German Language and Literature,"[
{
""topic_words"": [""romanticism"", ""goethe"", ""weimar"", ""storm"", ""stress""],
""topic_label"": ""Goethe and German Romanticism""
},
{
""topic_words"": [""dialect"", ""linguistics"", ""variation"", ""austrian"", ""swiss""],
""topic_label"": ""German Linguistic Variation Studies""
},
{
""topic_words"": [""kafka"", ""modernism"", ""existentialism"", ""prague"", ""metamorphosis""],
""topic_label"": ""Kafka and Modern German Literature""
},
{
""topic_words"": [""postwar"", ""literature"", ""grass"", ""böll"", ""trümmerliteratur""],
""topic_label"": ""Post-WWII German Literature""
},
{
""topic_words"": [""translation"", ""interpretation"", ""source"", ""target"", ""fidelity""],
""topic_label"": ""German Literary Translation""
},
{
""topic_words"": [""folklore"", ""fairy"", ""tales"", ""grimm"", ""oral""],
""topic_label"": ""German Folklore and Fairy Tales""
},
{
""topic_words"": [""brecht"", ""theater"", ""epic"", ""verfremdungseffekt"", ""drama""],
""topic_label"": ""Brecht and Epic Theater""
}
]"
Composition,"[
{
""topic_words"": [""counterpoint"", ""harmony"", ""form"", ""melody"", ""rhythm""],
""topic_label"": ""Foundational Music Elements""
},
{
""topic_words"": [""orchestration"", ""timbre"", ""instrumentation"", ""texture"", ""score""],
""topic_label"": ""Orchestration and Timbral Techniques""
},
{
""topic_words"": [""electronic"", ""soundscape"", ""sampling"", ""synthesis"", ""digital""],
""topic_label"": ""Electroacoustic Music Composition""
},
{
""topic_words"": [""aleatoric"", ""indeterminacy"", ""chance"", ""process"", ""experimental""],
""topic_label"": ""Avant-garde and Experimental Music""
},
{
""topic_words"": [""opera"", ""libretto"", ""dramatic"", ""vocal"", ""staging""],
""topic_label"": ""Dramatic and Vocal Composition""
},
{
""topic_words"": [""jazz"", ""improvisation"", ""arrangement"", ""modal"", ""harmonies""],
""topic_label"": ""Jazz Composition and Arranging""
},
{
""topic_words"": [""film"", ""score"", ""underscoring"", ""leitmotif"", ""soundtrack""],
""topic_label"": ""Film Scoring and Media Music""
}
]"
Criminology,"[
{
""topic_words"": [""victimization"", ""victimology"", ""survivors"", ""support"", ""prevention""],
""topic_label"": ""Study of Victimization and Support""
},
{
""topic_words"": [""juvenile"", ""delinquency"", ""adolescent"", ""rehabilitation"", ""reoffending""],
""topic_label"": ""Juvenile Delinquency and Intervention""
},
{
""topic_words"": [""cybercrime"", ""hacking"", ""fraud"", ""digital"", ""network""],
""topic_label"": ""Digital Crime and Cyber Security""
},
{
""topic_words"": [""police"", ""community"", ""disparity"", ""policing"", ""relations""],
""topic_label"": ""Police-Community Relations and Equity""
},
{
""topic_words"": [""socioeconomic"", ""poverty"", ""inequality"", ""status"", ""causation""],
""topic_label"": ""Socioeconomic Factors in Crime""
},
{
""topic_words"": [""white-collar"", ""corporate"", ""financial"", ""organized"", ""investigation""],
""topic_label"": ""White-Collar and Corporate Crime""
},
{
""topic_words"": [""sentencing"", ""mandatory"", ""rehabilitation"", ""punishment"", ""recidivism""],
""topic_label"": ""Sentencing, Punishment, and Recidivism""
}
]"
History of the Pacific Islands,"[
{
""topic_words"": [""navigators"", ""migrations"", ""lapita"", ""seafaring"", ""settlement""],
""topic_label"": ""Pre-European Polynesian Migrations""
},
{
""topic_words"": [""cook"", ""exploration"", ""european"", ""contact"", ""colonialism""],
""topic_label"": ""European Contact and Exploration""
},
{
""topic_words"": [""missions"", ""conversion"", ""christianity"", ""protestant"", ""catholic""],
""topic_label"": ""Christian Missionary Influence""
},
{
""topic_words"": [""world"", ""war"", ""battle"", ""military"", ""occupation""],
""topic_label"": ""World War II in the Pacific""
},
{
""topic_words"": [""independence"", ""sovereignty"", ""decolonization"", ""nation-building"", ""self-governance""],
""topic_label"": ""Decolonization and Independence""
},
{
""topic_words"": [""nuclear"", ""testing"", ""bomb"", ""fallout"", ""bikini""],
""topic_label"": ""Nuclear Testing History""
},
{
""topic_words"": [""land"", ""reef"", ""resource"", ""indigenous"", ""environmental""],
""topic_label"": ""Indigenous Resource Management""
}
]"
